Species name,Longitude,Latitude
wsmv,8,10
wsmv,28.5,-14.33333
wsmv,105,35
wsmv,85.5,41.5
wsmv,53,32
wsmv,36,31
wsmv,68,48
wsmv,38,35
wsmv,35,39
wsmv,63.83333,41.66667
wsmv,25.25,42.66667
wsmv,15.5,45.16667
wsmv,15,49.75
wsmv,10.5,51.5
wsmv,20,47
wsmv,12.83333,42.83333
wsmv,28.58333,47.25
wsmv,20,52
wsmv,25,46
wsmv,100,60
wsmv,45.34,48.76
wsmv,19.5,48.66667
wsmv,-4,40
wsmv,32,49
wsmv,-113.64258,60.10867
wsmv,-117.469,52.28333
wsmv,-97.00049,55.00019
wsmv,-84.49983,49.25014
wsmv,-106.00099,54.0001
wsmv,-102,23
wsmv,-98.5,39.76
wsmv,-86.75026,32.75041
wsmv,-92.50044,34.75037
wsmv,-119.75126,37.25022
wsmv,-105.50083,39.00027
wsmv,-75.49992,39.00039
wsmv,-114.25118,44.5002
wsmv,-89.25037,40.00032
wsmv,-86.25027,40.00032
wsmv,-93.50049,42.00027
wsmv,-98.50063,38.50029
wsmv,-84.87762,38.20042
wsmv,-85.50033,44.25029
wsmv,-94.25055,46.25024
wsmv,-89.75036,32.75041
wsmv,-92.50046,38.25031
wsmv,-109.75102,47.00025
wsmv,-99.75067,41.50028
wsmv,-75.4999,43.00035
wsmv,-100.00068,47.50027
wsmv,-83.00018,40.25034
wsmv,-97.50328,35.49209
wsmv,-76.90567,40.27245
wsmv,-100.25069,44.50026
wsmv,-86.25027,35.75035
wsmv,-99.25061,31.25044
wsmv,-111.75103,39.25024
wsmv,-77.44675,37.54812
wsmv,-120.50147,47.50012
wsmv,-90.00041,44.50024
wsmv,-107.5009,43.00024
wsmv,135,-25
wsmv,146,-33
wsmv,145,-20
wsmv,135,-30
wsmv,145,-37
wsmv,122,-25
wsmv,174,-42
wsmv,-64,-34
wsmv,-55,-10
